order_number,line_item,order_date,delivery_date,customerkey,storekey,productkey,quantity,currency_code,shipping_days,gender,name,city,state_code,state,country,continent,birthday,age,country_store,state_store,open_date,product_name,brand,color,subcategorykey,subcategory,categorykey,category,cost_usd,price_usd,date,currency,exchange
366007,2,"2016-01-01 00:00:00","2016-01-01 00:00:00",2035771,43,666,5,USD,0,FEMALE,"DAMIANA CORONA",WINCHESTER,VA,VIRGINIA,"UNITED STATES","NORTH AMERICA","1944-10-30 00:00:00",79,"UNITED STATES",ALASKA,"2015-01-01 00:00:00","PROSEWARE OFFICE JET ALL-IN-ONE PRINTER M500 BLACK",PROSEWARE,BLACK,306,"PRINTERS, SCANNERS & FAX",3,COMPUTERS,74.96,163,"2016-01-01 00:00:00",USD,1
366008,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",759705,29,1154,9,EUR,0,MALE,"CALLISTO LO DUCA",CASILLI,N/A,NAPOLI,ITALY,EUROPE,"1976-08-28 00:00:00",48,ITALY,ENNA,"2008-01-01 00:00:00","FABRIKAM TRENDSETTER 1/3" 8.5MM X200 BLUE",FABRIKAM,BLUE,405,CAMCORDERS,4,"CAMERAS AND CAMCORDERS",330.66,998,"2016-01-01 00:00:00",EUR,0.9185
366008,2,"2016-01-01 00:00:00","2016-01-01 00:00:00",759705,29,2510,1,EUR,0,MALE,"CALLISTO LO DUCA",CASILLI,N/A,NAPOLI,ITALY,EUROPE,"1976-08-28 00:00:00",48,ITALY,ENNA,"2008-01-01 00:00:00","CONTOSO ORIGINAL K1M LI-ION STANDARD BATTERY E170 WHITE",CONTOSO,WHITE,505,"CELL PHONES ACCESSORIES",5,"CELL PHONES",2.07,4.06,"2016-01-01 00:00:00",EUR,0.9185
366008,3,"2016-01-01 00:00:00","2016-01-01 00:00:00",759705,29,1060,5,EUR,0,MALE,"CALLISTO LO DUCA",CASILLI,N/A,NAPOLI,ITALY,EUROPE,"1976-08-28 00:00:00",48,ITALY,ENNA,"2008-01-01 00:00:00","A. DATUM SLR CAMERA X139 GOLD","A. DATUM",GOLD,402,"DIGITAL SLR CAMERAS",4,"CAMERAS AND CAMCORDERS",207.74,627,"2016-01-01 00:00:00",EUR,0.9185
366009,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",254540,9,1648,1,CAD,0,FEMALE,"HAZEL SKILES",PETERBOROUGH,ON,ONTARIO,CANADA,"NORTH AMERICA","1988-06-10 00:00:00",36,CANADA,"NORTHWEST TERRITORIES","2005-03-04 00:00:00","CONTOSO DVD 7-INCH PLAYER PORTABLE E200 BLACK",CONTOSO,BLACK,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",56.08,109.99,"2016-01-01 00:00:00",CAD,1.3884
366010,1,"2016-01-01 00:00:00","2016-01-08 00:00:00",370077,0,618,5,CAD,7,FEMALE,"CARLOTA ETZEL",SAINTE-GERTRUDE,QC,QUEBEC,CANADA,"NORTH AMERICA","1971-02-02 00:00:00",53,ONLINE,ONLINE,"2010-01-01 00:00:00","WWI SCREEN 113IN M1610 BLACK","WIDE WORLD IMPORTERS",BLACK,305,"PROJECTORS & SCREENS",3,COMPUTERS,99.06,299,"2016-01-01 00:00:00",CAD,1.3884
366011,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",1984985,66,128,7,USD,0,MALE,"MIKE MOGENSEN",CHICAGO,IL,ILLINOIS,"UNITED STATES","NORTH AMERICA","1937-06-10 00:00:00",87,"UNITED STATES",WYOMING,"2014-01-01 00:00:00","ADVENTURE WORKS 19" COLOR DIGITAL TV E35 BROWN","ADVENTURE WORKS",BROWN,201,TELEVISIONS,2,"TV AND VIDEO",73.11,143.4,"2016-01-01 00:00:00",USD,1
366011,2,"2016-01-01 00:00:00","2016-01-01 00:00:00",1984985,66,1638,1,USD,0,MALE,"MIKE MOGENSEN",CHICAGO,IL,ILLINOIS,"UNITED STATES","NORTH AMERICA","1937-06-10 00:00:00",87,"UNITED STATES",WYOMING,"2014-01-01 00:00:00","CONTOSO DVD 58 DVD STORAGE BINDER M55 RED",CONTOSO,RED,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",6.39,13.89,"2016-01-01 00:00:00",USD,1
366011,3,"2016-01-01 00:00:00","2016-01-01 00:00:00",1984985,66,1634,1,USD,0,MALE,"MIKE MOGENSEN",CHICAGO,IL,ILLINOIS,"UNITED STATES","NORTH AMERICA","1937-06-10 00:00:00",87,"UNITED STATES",WYOMING,"2014-01-01 00:00:00","CONTOSO DVD 38 DVD STORAGE BINDER E25 SILVER",CONTOSO,SILVER,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",5.09,9.99,"2016-01-01 00:00:00",USD,1
366011,4,"2016-01-01 00:00:00","2016-01-01 00:00:00",1984985,66,2392,3,USD,0,MALE,"MIKE MOGENSEN",CHICAGO,IL,ILLINOIS,"UNITED STATES","NORTH AMERICA","1937-06-10 00:00:00",87,"UNITED STATES",WYOMING,"2014-01-01 00:00:00","PROSEWARE AIR CONDITIONER 10000BTU M490 RED",PROSEWARE,RED,807,"AIR CONDITIONERS",8,"HOME APPLIANCES",197.74,429.99,"2016-01-01 00:00:00",USD,1
366012,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",1977527,65,1807,1,USD,0,FEMALE,"REBECCA KOCH",AUSTIN,TX,TEXAS,"UNITED STATES","NORTH AMERICA","1988-04-18 00:00:00",36,"UNITED STATES","WEST VIRGINIA","2012-01-01 00:00:00","MGS DUNGEON SIEGE 2009 E163","TAILSPIN TOYS",GOLD,702,"DOWNLOAD GAMES",7,"GAMES AND TOYS",16.31,32,"2016-01-01 00:00:00",USD,1
366012,2,"2016-01-01 00:00:00","2016-01-01 00:00:00",1977527,65,1594,4,USD,0,FEMALE,"REBECCA KOCH",AUSTIN,TX,TEXAS,"UNITED STATES","NORTH AMERICA","1988-04-18 00:00:00",36,"UNITED STATES","WEST VIRGINIA","2012-01-01 00:00:00","SV DVD 38 DVD STORAGE BINDER E25 RED","SOUTHRIDGE VIDEO",RED,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",5.09,9.99,"2016-01-01 00:00:00",USD,1
366012,3,"2016-01-01 00:00:00","2016-01-01 00:00:00",1977527,65,1297,1,USD,0,FEMALE,"REBECCA KOCH",AUSTIN,TX,TEXAS,"UNITED STATES","NORTH AMERICA","1988-04-18 00:00:00",36,"UNITED STATES","WEST VIRGINIA","2012-01-01 00:00:00","CONTOSO USB CABLE M250 WHITE",CONTOSO,WHITE,406,"CAMERAS & CAMCORDERS ACCESSORIES",4,"CAMERAS AND CAMCORDERS",11.5,25,"2016-01-01 00:00:00",USD,1
366013,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",1187306,41,1654,5,GBP,0,MALE,"MAX NORRIS",DRUMWHINDLE,ABERDEENSHIRE,ABERDEENSHIRE,"UNITED KINGDOM",EUROPE,"1977-06-11 00:00:00",47,"UNITED KINGDOM",FERMANAGH,"2013-06-07 00:00:00","CONTOSO DVD 14-INCH PLAYER PORTABLE L100 SILVER",CONTOSO,SILVER,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",86.14,259.99,"2016-01-01 00:00:00",GBP,0.6742
366014,1,"2016-01-01 00:00:00","2016-01-06 00:00:00",738549,0,123,1,EUR,5,FEMALE,"CLARA TOSCANI",POLLONE,BI,BIELLA,ITALY,EUROPE,"1998-12-25 00:00:00",25,ONLINE,ONLINE,"2010-01-01 00:00:00","ADVENTURE WORKS 19" PORTABLE LCD HDTV M110 BLACK","ADVENTURE WORKS",BLACK,201,TELEVISIONS,2,"TV AND VIDEO",128.76,279.99,"2016-01-01 00:00:00",EUR,0.9185
366014,2,"2016-01-01 00:00:00","2016-01-06 00:00:00",738549,0,1700,2,EUR,5,FEMALE,"CLARA TOSCANI",POLLONE,BI,BIELLA,ITALY,EUROPE,"1998-12-25 00:00:00",25,ONLINE,ONLINE,"2010-01-01 00:00:00","SV HAND GAMES WOMEN M40 RED","SOUTHRIDGE VIDEO",RED,701,"BOXED GAMES",7,"GAMES AND TOYS",4.08,8.88,"2016-01-01 00:00:00",EUR,0.9185
366016,1,"2016-01-01 00:00:00","2016-01-01 00:00:00",1982762,63,1253,7,USD,0,FEMALE,"ASTA KRUSE",MADRID,NY,"NEW YORK","UNITED STATES","NORTH AMERICA","1971-02-18 00:00:00",53,"UNITED STATES",UTAH,"2008-03-06 00:00:00","CONTOSO GENERAL CARRYING CASE E304 SILVER",CONTOSO,SILVER,406,"CAMERAS & CAMCORDERS ACCESSORIES",4,"CAMERAS AND CAMCORDERS",10.19,19.99,"2016-01-01 00:00:00",USD,1
367000,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",1438050,56,1176,1,USD,0,FEMALE,"ANGELA ROEDER",CHAMPAIGN,IL,ILLINOIS,"UNITED STATES","NORTH AMERICA","1939-02-16 00:00:00",85,"UNITED STATES","NEW HAMPSHIRE","2015-01-01 00:00:00","FABRIKAM TRENDSETTER 1'' 25MM X400 WHITE",FABRIKAM,WHITE,405,CAMCORDERS,4,"CAMERAS AND CAMCORDERS",331.32,1000,"2016-01-02 00:00:00",USD,1
367003,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",980164,40,153,2,GBP,0,FEMALE,"EVIE GARDINER",GRAVELEY,"NORTH HERTFORDSHIRE","NORTH HERTFORDSHIRE","UNITED KINGDOM",EUROPE,"1987-06-02 00:00:00",37,"UNITED KINGDOM","DUNGANNON AND SOUTH TYRONE","2012-06-06 00:00:00","ADVENTURE WORKS 26" 720P LCD HDTV M140 SILVER","ADVENTURE WORKS",SILVER,201,TELEVISIONS,2,"TV AND VIDEO",216.12,469.97,"2016-01-02 00:00:00",GBP,0.6742
367004,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",1853699,56,136,1,USD,0,FEMALE,"YOUNG HUDSON",CHANDLER,OK,OKLAHOMA,"UNITED STATES","NORTH AMERICA","1956-08-17 00:00:00",68,"UNITED STATES","NEW HAMPSHIRE","2015-01-01 00:00:00","ADVENTURE WORKS 20" LCD HDTV M120 BROWN","ADVENTURE WORKS",BROWN,201,TELEVISIONS,2,"TV AND VIDEO",160.93,349.95,"2016-01-02 00:00:00",USD,1
367004,2,"2016-01-02 00:00:00","2016-01-02 00:00:00",1853699,56,1637,4,USD,0,FEMALE,"YOUNG HUDSON",CHANDLER,OK,OKLAHOMA,"UNITED STATES","NORTH AMERICA","1956-08-17 00:00:00",68,"UNITED STATES","NEW HAMPSHIRE","2015-01-01 00:00:00","CONTOSO DVD 48 DVD STORAGE BINDER M50 RED",CONTOSO,RED,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",8.27,17.99,"2016-01-02 00:00:00",USD,1
367005,1,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1691,1,EUR,8,MALE,"ADOLFO GENOVESI",TEGLIA,GE,GENOVA,ITALY,EUROPE,"1993-07-29 00:00:00",31,ONLINE,ONLINE,"2010-01-01 00:00:00","SV HAND GAMES FOR KIDS E30 BLACK","SOUTHRIDGE VIDEO",BLACK,701,"BOXED GAMES",7,"GAMES AND TOYS",2.75,5.39,"2016-01-02 00:00:00",EUR,0.9185
367005,2,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,319,2,EUR,8,MALE,"ADOLFO GENOVESI",TEGLIA,GE,GENOVA,ITALY,EUROPE,"1993-07-29 00:00:00",31,ONLINE,ONLINE,"2010-01-01 00:00:00","SV CAR VIDEO LCD9.2W X9281 SILVER","SOUTHRIDGE VIDEO",SILVER,205,"CAR VIDEO",2,"TV AND VIDEO",287.92,869,"2016-01-02 00:00:00",EUR,0.9185
367005,3,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1674,8,EUR,8,MALE,"ADOLFO GENOVESI",TEGLIA,GE,GENOVA,ITALY,EUROPE,"1993-07-29 00:00:00",31,ONLINE,ONLINE,"2010-01-01 00:00:00","MGS HAND GAMES FOR STUDENTS E400 RED","TAILSPIN TOYS",RED,701,"BOXED GAMES",7,"GAMES AND TOYS",3.56,6.99,"2016-01-02 00:00:00",EUR,0.9185
367005,4,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,2511,9,EUR,8,MALE,"ADOLFO GENOVESI",TEGLIA,GE,GENOVA,ITALY,EUROPE,"1993-07-29 00:00:00",31,ONLINE,ONLINE,"2010-01-01 00:00:00","CONTOSO ORIGINAL K1M LI-ION STANDARD BATTERY E170 SILVER",CONTOSO,SILVER,505,"CELL PHONES ACCESSORIES",5,"CELL PHONES",2.07,4.06,"2016-01-02 00:00:00",EUR,0.9185
367005,5,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1720,2,EUR,8,MALE,"ADOLFO GENOVESI",TEGLIA,GE,GENOVA,ITALY,EUROPE,"1993-07-29 00:00:00",31,ONLINE,ONLINE,"2010-01-01 00:00:00","MGS ZOO TYCOON 2: AFRICAN ADVENTURE M280","TAILSPIN TOYS",BLACK,702,"DOWNLOAD GAMES",7,"GAMES AND TOYS",32.25,70.13,"2016-01-02 00:00:00",EUR,0.9185
367005,6,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,1597,7,EUR,8,MALE,"ADOLFO GENOVESI",TEGLIA,GE,GENOVA,ITALY,EUROPE,"1993-07-29 00:00:00",31,ONLINE,ONLINE,"2010-01-01 00:00:00","SV DVD EXTERNAL DVD BURNER M200 BLACK","SOUTHRIDGE VIDEO",BLACK,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",26.62,57.88,"2016-01-02 00:00:00",EUR,0.9185
367005,7,"2016-01-02 00:00:00","2016-01-10 00:00:00",758280,0,784,1,EUR,8,MALE,"ADOLFO GENOVESI",TEGLIA,GE,GENOVA,ITALY,EUROPE,"1993-07-29 00:00:00",31,ONLINE,ONLINE,"2010-01-01 00:00:00","CONTOSO LAPTOP STARTER BUNDLE M200 WHITE",CONTOSO,WHITE,308,"COMPUTERS ACCESSORIES",3,COMPUTERS,7.59,16.5,"2016-01-02 00:00:00",EUR,0.9185
367006,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",693285,18,2445,3,EUR,0,FEMALE,"SOLAINE LANOIE",DZAOUDZI,MY,MAYOTTE,FRANCE,EUROPE,"1978-11-20 00:00:00",45,FRANCE,MAYOTTE,"2012-08-08 00:00:00","LITWARE 80MM DUAL BALL BEARING CASE FAN E1001 GREEN",LITWARE,GREEN,808,FANS,8,"HOME APPLIANCES",2.54,4.99,"2016-01-02 00:00:00",EUR,0.9185
367007,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",1730985,57,65,7,USD,0,FEMALE,"ETHEL WONG",BRATTLEBORO,VT,VERMONT,"UNITED STATES","NORTH AMERICA","1987-08-31 00:00:00",37,"UNITED STATES","NEW MEXICO","2010-06-03 00:00:00","WWI 2GB SPY VIDEO RECORDER PEN M300 PURPLE","WIDE WORLD IMPORTERS",PURPLE,104,"RECORDING PEN",1,AUDIO,83.24,181,"2016-01-02 00:00:00",USD,1
367007,2,"2016-01-02 00:00:00","2016-01-02 00:00:00",1730985,57,1432,9,USD,0,FEMALE,"ETHEL WONG",BRATTLEBORO,VT,VERMONT,"UNITED STATES","NORTH AMERICA","1987-08-31 00:00:00",37,"UNITED STATES","NEW MEXICO","2010-06-03 00:00:00","THE PHONE COMPANY TOUCH SCREEN PHONES INFRARED M901 GREY","THE PHONE COMPANY",GREY,503,"TOUCH SCREEN PHONES",5,"CELL PHONES",137.96,300,"2016-01-02 00:00:00",USD,1
367008,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",763246,28,1951,3,EUR,0,MALE,"REMIGIO ROMANO","SAN ZENONE AL LAMBRO",MI,MILANO,ITALY,EUROPE,"1942-07-17 00:00:00",82,ITALY,CALTANISSETTA,"2012-12-15 00:00:00","LITWARE REFRIGERATOR 24.7CUFT X980 SILVER",LITWARE,SILVER,802,REFRIGERATORS,8,"HOME APPLIANCES",1060.22,3199.99,"2016-01-02 00:00:00",EUR,0.9185
367009,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",1512558,57,934,1,USD,0,FEMALE,"KIMBERLY WALDEN","WEST ROXBURY",MA,MASSACHUSETTS,"UNITED STATES","NORTH AMERICA","1968-12-04 00:00:00",55,"UNITED STATES","NEW MEXICO","2010-06-03 00:00:00","SV 4GB LAPTOP MEMORY M65 BLUE","SOUTHRIDGE VIDEO",BLUE,308,"COMPUTERS ACCESSORIES",3,COMPUTERS,36.33,79,"2016-01-02 00:00:00",USD,1
367009,2,"2016-01-02 00:00:00","2016-01-02 00:00:00",1512558,57,930,8,USD,0,FEMALE,"KIMBERLY WALDEN","WEST ROXBURY",MA,MASSACHUSETTS,"UNITED STATES","NORTH AMERICA","1968-12-04 00:00:00",55,"UNITED STATES","NEW MEXICO","2010-06-03 00:00:00","SV 512MB LAPTOP MEMORY E800 YELLOW","SOUTHRIDGE VIDEO",YELLOW,308,"COMPUTERS ACCESSORIES",3,COMPUTERS,17.33,33.99,"2016-01-02 00:00:00",USD,1
367009,3,"2016-01-02 00:00:00","2016-01-02 00:00:00",1512558,57,1436,5,USD,0,FEMALE,"KIMBERLY WALDEN","WEST ROXBURY",MA,MASSACHUSETTS,"UNITED STATES","NORTH AMERICA","1968-12-04 00:00:00",55,"UNITED STATES","NEW MEXICO","2010-06-03 00:00:00","THE PHONE COMPANY TOUCH SCREEN PHONES 5-WIRE/ON-WALL M508 GREY","THE PHONE COMPANY",GREY,503,"TOUCH SCREEN PHONES",5,"CELL PHONES",118.65,258,"2016-01-02 00:00:00",USD,1
367009,4,"2016-01-02 00:00:00","2016-01-02 00:00:00",1512558,57,1547,3,USD,0,FEMALE,"KIMBERLY WALDEN","WEST ROXBURY",MA,MASSACHUSETTS,"UNITED STATES","NORTH AMERICA","1968-12-04 00:00:00",55,"UNITED STATES","NEW MEXICO","2010-06-03 00:00:00","THE PHONE COMPANY PDA HANDHELD 3.5 INCH M610 SILVER","THE PHONE COMPANY",SILVER,504,"SMART PHONES & PDAS",5,"CELL PHONES",117.27,255,"2016-01-02 00:00:00",USD,1
367009,5,"2016-01-02 00:00:00","2016-01-02 00:00:00",1512558,57,53,5,USD,0,FEMALE,"KIMBERLY WALDEN","WEST ROXBURY",MA,MASSACHUSETTS,"UNITED STATES","NORTH AMERICA","1968-12-04 00:00:00",55,"UNITED STATES","NEW MEXICO","2010-06-03 00:00:00","WWI 4GB VIDEO RECORDING PEN X200 BLACK","WIDE WORLD IMPORTERS",BLACK,104,"RECORDING PEN",1,AUDIO,98.07,296,"2016-01-02 00:00:00",USD,1
367010,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",1322959,66,917,1,USD,0,MALE,"ERIC WILLIAMS","BIG PINEY",WY,WYOMING,"UNITED STATES","NORTH AMERICA","1959-11-05 00:00:00",64,"UNITED STATES",WYOMING,"2014-01-01 00:00:00","SV 500GB USB 2.0 PORTABLE EXTERNAL HARD DRIVE X405 WHITE","SOUTHRIDGE VIDEO",WHITE,308,"COMPUTERS ACCESSORIES",3,COMPUTERS,59.31,179,"2016-01-02 00:00:00",USD,1
367010,2,"2016-01-02 00:00:00","2016-01-02 00:00:00",1322959,66,39,1,USD,0,MALE,"ERIC WILLIAMS","BIG PINEY",WY,WYOMING,"UNITED STATES","NORTH AMERICA","1959-11-05 00:00:00",64,"UNITED STATES",WYOMING,"2014-01-01 00:00:00","CONTOSO 8GB CLOCK & RADIO MP3 PLAYER X850 GREEN",CONTOSO,GREEN,101,MP4&MP3,1,AUDIO,99.14,299.23,"2016-01-02 00:00:00",USD,1
367011,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",507981,22,39,1,EUR,0,MALE,"ERIC LUFT",LAPPERSDORF,BY,"FREISTAAT BAYERN",GERMANY,EUROPE,"1957-11-12 00:00:00",66,GERMANY,"FREISTAAT THÜRINGEN","2008-03-06 00:00:00","CONTOSO 8GB CLOCK & RADIO MP3 PLAYER X850 GREEN",CONTOSO,GREEN,101,MP4&MP3,1,AUDIO,99.14,299.23,"2016-01-02 00:00:00",EUR,0.9185
367012,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",209990,9,1653,5,CAD,0,MALE,"BRANDON LOYD",NORWICH,ON,ONTARIO,CANADA,"NORTH AMERICA","1975-12-23 00:00:00",48,CANADA,"NORTHWEST TERRITORIES","2005-03-04 00:00:00","CONTOSO DVD 7-INCH PLAYER PORTABLE E200 SILVER",CONTOSO,SILVER,602,"MOVIE DVD",6,"MUSIC, MOVIES AND AUDIO BOOKS",56.08,109.99,"2016-01-02 00:00:00",CAD,1.3884
367012,2,"2016-01-02 00:00:00","2016-01-02 00:00:00",209990,9,145,3,CAD,0,MALE,"BRANDON LOYD",NORWICH,ON,ONTARIO,CANADA,"NORTH AMERICA","1975-12-23 00:00:00",48,CANADA,"NORTHWEST TERRITORIES","2005-03-04 00:00:00","ADVENTURE WORKS 52" LCD HDTV X590 SILVER","ADVENTURE WORKS",SILVER,201,TELEVISIONS,2,"TV AND VIDEO",960.82,2899.99,"2016-01-02 00:00:00",CAD,1.3884
367013,1,"2016-01-02 00:00:00","2016-01-02 00:00:00",815458,31,1733,2,EUR,0,MALE,"LIBAAN VAN ESSEN",SASSENHEIM,ZH,ZUID-HOLLAND,NETHERLANDS,EUROPE,"1982-02-03 00:00:00",42,NETHERLANDS,DRENTHE,"2012-01-07 00:00:00","MGS HALO: COMBAT EVOLVED E109","TAILSPIN TOYS",SILVER,702,"DOWNLOAD GAMES",7,"GAMES AND TOYS",11.62,22.79,"2016-01-02 00:00:00",EUR,0.9185
367013,2,"2016-01-02 00:00:00","2016-01-02 00:00:00",815458,31,41,6,EUR,0,MALE,"LIBAAN VAN ESSEN",SASSENHEIM,ZH,ZUID-HOLLAND,NETHERLANDS,EUROPE,"1982-02-03 00:00:00",42,NETHERLANDS,DRENTHE,"2012-01-07 00:00:00","CONTOSO 16GB NEW GENERATION MP5 PLAYER M1650 SILVER",CONTOSO,SILVER,101,MP4&MP3,1,AUDIO,106.69,232,"2016-01-02 00:00:00",EUR,0.9185
